Team,Pts,Opp. Pts,3PTM,Opp. 3PTM,OReb,Opp. OReb,DReb,Opp. DReb,Ast,Opp. Ast,Stl,Opp. Stl,Blk,Opp. Blk,TO,Opp. TO,Foul,Opp. Foul,Season,Season Type,Match Count
Atlanta Hawks,105.53,102.15,10.19,8.52,8.49,11.85,34.72,36.03,26.3,22.68,9.37,8.89,6.11,5.13,14.92,15.94,19.66,18.84,2015-2016,REG,82
Brooklyn Nets,103.63,111.11,6.8,9.91,11.07,10.74,33.49,34.76,23.43,25.64,8.03,9.2,4.24,5.5,15.04,14.19,18.91,19.3,2015-2016,REG,82
Boston Celtics,107.13,104.04,8.86,7.96,11.74,11.55,33.77,35.14,24.48,21.23,9.29,7.7,4.3,5.57,13.64,16.03,22.2,21.26,2015-2016,REG,82
Charlotte Hornets,107.86,105.21,11.11,9.25,9.34,9.25,36.51,37.42,22.62,24.23,7.58,7.07,5.57,5.71,12.4,13.65,18.92,21.28,2015-2016,REG,82
Chicago Bulls,105.29,106.94,8.22,8.23,11.46,12.26,36.5,35.37,23.62,23.37,6.25,8.3,5.94,5.88,13.81,11.7,19.52,19.41,2015-2016,REG,82
Cleveland Cavaliers,111.52,105.01,11.47,8.43,11.38,9.9,36.2,33.92,24.26,22.87,7.18,7.68,4.13,4.72,13.77,13.74,21.72,22.01,2015-2016,REG,82
Dallas Mavericks,106.98,107.28,10.28,9.48,9.6,11.07,35.47,36.8,23.12,22.95,7.14,7.87,3.88,4.63,12.89,14.01,20.34,22.41,2015-2016,REG,82
Denver Nuggets,106.14,109.32,8.33,9.58,11.94,10.17,34.53,34.29,23.6,24.43,7.74,8.38,5.02,6.57,14.76,13.66,21.89,21.74,2015-2016,REG,82
Detroit Pistons,106.82,106.17,9.46,7.61,13.05,9.26,35.48,35.31,20.37,22.56,7.32,7.44,3.88,4.69,13.57,13.53,19.89,22.65,2015-2016,REG,82
Golden State Warriors,115.14,103.97,13.16,7.79,9.97,11.4,36.3,32.4,29,22.2,8.41,8.65,6.06,4.08,14.9,13.77,20.79,19.81,2015-2016,REG,82
Houston Rockets,108.86,108.59,10.94,9.91,11.59,12.09,32.41,33.5,22.69,25.09,10.23,9.14,5.36,5.03,15.57,16.1,22.3,23,2015-2016,REG,82
Indiana Pacers,105,103.26,8.31,8.51,10.62,11.01,34.85,34.78,21.82,21.4,9.29,7.95,4.91,4.58,14.74,15.63,20.57,21.01,2015-2016,REG,82
Los Angeles Clippers,108.58,104.22,10.1,8.18,9.16,12.28,34.54,36.28,23.73,22.07,8.98,7.37,5.83,3.29,12.87,15.27,22.12,23.36,2015-2016,REG,82
Los Angeles Lakers,101.88,112.01,8.16,8.95,11.24,11.46,33.76,37.24,18.86,25.84,7.57,7.9,4.3,5.84,13.63,12.68,21.21,20.1,2015-2016,REG,82
Memphis Grizzlies,106.03,108.25,6.58,10.38,11.95,10.81,32.58,35.31,22.14,23.34,9.46,7.52,4.57,6.11,13.6,16.52,23.27,22.56,2015-2016,REG,82
